site_id,customer_group_name,site_name,site_address,city,state,zip,longitude,latitude,pump_certified,branded,brand,updated_at
2854,Pilot,Fedex Ground North FTW,2701 Texas Longhorn Way,Fort Worth,TX,76177,-97.30635,32.99761,0,null,null,2026-05-26 19:14:34.295015+00
2855,Pilot,Fleet Fuel Company LLC Dallas,4500 Irving Blvd,Dallas,TX,75247,-96.89459,32.80659,0,null,null,2026-05-26 19:14:34.295015+00
2856,Pilot,Fleet Fuel Company LLC FTW,4601 Carey St,Fort Worth,TX,76119,-97.24215,32.69456,0,null,null,2026-05-26 19:14:34.295015+00
2857,Pilot,Fleet Fuel Company LLC Irving,2330 E Union Bower Rd,Irving,TX,75061,-96.90996,32.82305,0,null,null,2026-05-26 19:14:34.295015+00
2858,Pilot,Fort Worth Carrier Corp,4501 N Beach St,Fort Worth,TX,76137,-97.29187,32.82347,0,null,null,2026-05-26 19:14:34.295015+00
773,KAG_SEI,19th Street Texaco,1402 N Hwy 161,Grand Prairie,TX,75050,-97.02812,32.75738,0,null,null,2026-05-26 19:14:31.311363+00
1140,RACETRAC,Racetrac 215,4870 W University Drive,Prosper,TX,75078,-96.88001,33.21892,0,null,null,2026-05-26 19:14:31.899791+00
1159,RACETRAC,Racetrac 572,5151 N Tarrant Parkway,Ft Worth,TX,76244,-97.27334,32.89538,0,null,null,2026-05-26 19:14:31.899791+00
1160,RACETRAC,Racetrac 576,5145 Independence,Frisco,TX,75035,-96.75132,33.12004,0,null,null,2026-05-26 19:14:31.899791+00
1626,Victron Group,Speedmax#6,9531 C.F. Hawn Frwy,Dallas,TX,nan,-96.65762,32.7017,0,null,null,2026-05-26 19:14:31.899791+00
1868,GPM EMPIRE,Ez Mart #306 (4273),502 W Kilpatrick St.,Cleburne,TX,nan,-97.40506,32.36489,0,null,null,2026-05-26 19:14:32.573469+00
1871,GPM EMPIRE,Ez Mart #309,1715 N. Nolan River Road,Cleburne,TX,nan,-97.41918,32.36095,0,null,null,2026-05-26 19:14:32.573469+00
1872,GPM EMPIRE,Ez Mart #311,2201 S. Morgan Street,Granbury,TX,nan,-97.78895,32.41968,0,null,null,2026-05-26 19:14:32.573469+00
1873,GPM EMPIRE,Ez Mart #312,535 S. Morgan St.,Granbury,TX,nan,-97.79392,32.43742,0,null,null,2026-05-26 19:14:32.573469+00
1875,GPM EMPIRE,Ez Mart #319,527 N Big Bend Trl,Glen Rose,TX,nan,-97.75408,32.2401,0,null,null,2026-05-26 19:14:32.573469+00
2153,BRAD_HALL,Sonic Food Mart,3095 Claremont Dr,Grand Prairie,TX,nan,-97.06183,32.66863,0,null,null,2026-05-26 19:14:32.573469+00
2154,Victron Group,Windthorst Exxon,1208 Central Freeway E,Wichita Falls,TX,nan,-98.46699,33.88663,0,null,null,2026-05-26 19:14:32.573469+00
2155,Victron Group,Kell Exxon,6642 Kell Freeway & 369,Wichita Falls,TX,nan,-98.60486,33.87149,0,null,null,2026-05-26 19:14:32.573469+00
2156,BRAD_HALL,Anita Food Mart,921 S Access Rd,Clyde,TX,nan,-99.48688,32.41101,0,null,null,2026-05-26 19:14:32.573469+00
2157,Delek Companies,Caddo Delek Cbob,2856 Co Road 2168,Caddo Mills,TX,nan,-96.20144,33.03509,0,null,null,2026-05-26 19:14:32.573469+00
2859,Pilot,Forward Air Inc,3800 Cabell Dr,Irving,TX,75063,-96.99898,32.90253,0,null,null,2026-05-26 19:14:34.295015+00
2860,Pilot,Frontier Tank Lines Inc,100 N Central Expy Suite 115,Richardson,TX,75080,-96.73391,32.95082,0,null,null,2026-05-26 19:14:34.295015+00
2861,Pilot,Heartland Express Inc,215 Environmental Way,Seagoville,TX,75159,-96.55631,32.65089,0,null,null,2026-05-26 19:14:34.295015+00
2862,Pilot,J. B. Hunt Transport Services Inc Dallas,5701 W Kiest Blvd,Dallas,TX,75211,-96.92182,32.7073,0,null,null,2026-05-26 19:14:34.295015+00
2863,Pilot,JBS Pilgrims Lufkin,1800 W Frank St,Lufkin,TX,75904,-94.75524,31.33357,0,null,null,2026-05-26 19:14:34.295015+00
2864,Pilot,JBS Pilgrims Mt. Pleasant,1230 Pilgram Street,Mount Pleasant,TX,75455,-94.98273,33.14819,0,null,null,2026-05-26 19:14:34.295015+00
2865,Pilot,JBS Pilgrims Nacogdoches 1,2842 FM 1275 S,Nacogdoches,TX,75961,-94.64561,31.57609,0,null,null,2026-05-26 19:14:34.295015+00
2866,Pilot,JBS Pilgrims Nacogdoches 2,928 Martin Luther King Jr Blvd,Nacogdoches,TX,75961,-94.65083,31.59149,0,null,null,2026-05-26 19:14:34.295015+00
775,KAG_SEI,7-11 80053,912 E 9th Street,Kemp,TX,75143,-96.22258,32.44489,0,null,null,2026-05-26 19:14:31.311363+00
1141,RACETRAC,Racetrac 218,8900 US HWY 377,Benbrook,TX,76126,-97.46754,32.67622,0,null,null,2026-05-26 19:14:31.899791+00
1161,RACETRAC,Racetrac #581,9110 Coit Rd,Plano,TX,75025,-96.77113,33.10179,0,null,null,2026-05-26 19:14:31.899791+00
2215,Petroleum Distribution,Best Mart #1,1259 Church St,Sulphur Springs,TX,nan,-95.59879,33.15596,0,null,null,2026-05-26 19:14:32.573469+00
2216,Petroleum Distribution,Swift-T,2033 Military Pkwy,Mesquite,TX,nan,-96.63016,32.76855,0,null,null,2026-05-26 19:14:32.573469+00
2217,World Fuel Services,Bruton Mart,9203 Bruton Rd,Dallas,TX,nan,-96.66519,32.749,0,null,null,2026-05-26 19:14:32.573469+00
2218,World Fuel Services,Valero Gas,101 N Forest Hill Dr,Everman,TX,nan,-97.27019,32.63135,0,null,null,2026-05-26 19:14:32.573469+00
2989,OFFEN PETROLEUM,Kroger 580-Kroger-OF0,2671 Little Elm Pkwy,Little Elm,TX,nan,-96.89137,33.17044,0,null,null,2026-05-26 19:14:34.295015+00
2999,Brookshire Grocery Company,35 Brookshires,2011 S Washington,Kaufman,TX,nan,-96.30768,32.57619,0,null,null,2026-05-26 19:14:34.295015+00
3119,OFFEN PETROLEUM,City Of Cedar Hill**PUMP LOAD**,1554 South Clark Road,Cedar Hill,TX,nan,-96.94235,32.62128,0,null,null,2026-05-26 19:14:34.295015+00
3218,ORDER REQUEST,71458 Illinois Shopping Center,4323 W. Illinois Avenue,Dallas,TX,75211,-96.79512,32.77822,0,null,null,2026-05-26 19:14:34.295015+00
1162,RACETRAC,Racetrac 598,801 Hwy 78,Wylie,TX,75098,-96.53146,33.01697,0,null,null,2026-05-26 19:14:31.899791+00
2219,Victron Group,Tiger Mart # 88,1890 Hwy 82 W,New Boston,TX,nan,-94.45223,33.47163,0,null,null,2026-05-26 19:14:32.573469+00
1163,RACETRAC,Racetrac 600,1716 W Frankford Rd,Carrollton,TX,75007,-96.93822,32.99457,0,null,null,2026-05-26 19:14:31.899791+00
1977,Victron Group,Gateway #47,3616 Ira E Woods Ave,Grapevine,TX,nan,-97.12597,32.91525,0,null,null,2026-05-26 19:14:32.573469+00
1978,Victron Group,Ta Fairfield,300 E I-45,Fairfield,TX,nan,-96.17556,31.71634,0,null,null,2026-05-26 19:14:32.573469+00
1979,Victron Group,Gateway Of Weatherford,2082 Mineral Wells Hwy,Weatherford,TX,nan,-97.83515,32.7625,0,null,null,2026-05-26 19:14:32.573469+00
1980,Victron Group,Gateway #50,13965 Ih 35,Valley View,TX,nan,-97.1639,33.43662,0,null,null,2026-05-26 19:14:32.573469+00
2197,Victron Group,Reilly Exxon (203),5256 Central Freeway,Wichita Falls,TX,nan,-98.54011,33.98089,0,null,null,2026-05-26 19:14:32.573469+00
2198,GEMINI,Loves #852,2980 Us Hwy 82 W,New Boston,TX,nan,-94.46941,33.47322,0,null,null,2026-05-26 19:14:32.573469+00
2200,GEMINI,Loves 738,1201 Hillcrest Dr S,Sulphur Springs,TX,nan,-95.61947,33.15306,0,null,null,2026-05-26 19:14:32.573469+00
2201,GEMINI,Loves 815,12577 County Rd 3101,Winona,TX,nan,-95.06162,32.44343,0,null,null,2026-05-26 19:14:32.573469+00
2202,Petroleum Distribution,Best Mart,316 W Lennon Drive,Emory,TX,nan,-95.76857,32.87575,0,null,null,2026-05-26 19:14:32.573469+00
2203,Victron Group,Tiger Mart 13,100 W Main Street,Midlothian,null,nan,-96.99414,32.48196,0,null,null,2026-05-26 19:14:32.573469+00
2204,BRAD_HALL,Ez Shop 6,3020 Big Town Blvd,Mesquite,TX,nan,-96.66797,32.80689,0,null,null,2026-05-26 19:14:32.573469+00
2205,Indigo Energy,United Supermarkets,700 N Denton Tap Rd,Coppell,TX,nan,-96.99139,32.98851,0,null,null,2026-05-26 19:14:32.573469+00
2206,Indigo Energy,United Supermarket 562,11999 Dallas Parkway 75033,Frisco,TX,nan,-96.843,33.17699,0,null,null,2026-05-26 19:14:32.573469+00
2207,Poet,Us Oil North,301 Terminal Road,Fort Worth,TX,nan,-97.34847,32.81955,0,null,null,2026-05-26 19:14:32.573469+00
2214,KAG_SEI,Twin Points Chev Pump,9234 Ten Mile Bridge Road,Fort Worth,TX,nan,-97.47582,32.86449,0,null,null,2026-05-26 19:14:32.573469+00
2220,Petroleum Distribution,Azle Food Mart,500 N Steward St,Azle,TX,nan,-97.53903,32.89232,0,null,null,2026-05-26 19:14:32.573469+00
2222,McCraw Oil Company,D & N Grocery,1007 West Bow Street,Tyler,TX,nan,-95.31147,32.35863,0,null,null,2026-05-26 19:14:32.573469+00
2228,GPM EMPIRE,Garner Store & Café **PUMP TRUCK**,2305 N. Fm 113,Weatherford,TX,nan,-97.98707,32.83342,0,null,null,2026-05-26 19:14:32.573469+00
776,KAG_SEI,Raahim Investment  Inc,1901 N Garland Ave,Garland,TX,75040,-96.6485,32.93033,0,null,null,2026-05-26 19:14:31.311363+00
1204,SC_FUELS,Eagle Mountain Oil Company,353 Singleton Blvd,Dallas,TX,75212,-96.82985,32.77881,0,null,null,2026-05-26 19:14:31.899791+00
1983,Victron Group,Tiger Mart 73,3300 S. I-35,Waxahachie,TX,nan,-96.86413,32.37379,0,null,null,2026-05-26 19:14:32.573469+00
1984,Victron Group,Gateway # 27,440 W Kiest,Dallas,TX,nan,-96.83134,32.70471,0,null,null,2026-05-26 19:14:32.573469+00
2239,FIKES_INC,Cefco 0010,4439 Lakeshore Dr,Waco,TX,nan,-97.19496,31.56259,0,null,null,2026-05-26 19:14:33.515396+00
2240,FIKES_INC,Cefco 0004,616 Lake Air Dr,Waco,TX,nan,-97.18682,31.52541,0,null,null,2026-05-26 19:14:33.515396+00
2241,KAG_Ryder,Ryder 882,405 Ambassador Row/Us259 & Ambassador Row,Longview,TX,nan,-94.77165,32.47705,0,null,null,2026-05-26 19:14:33.515396+00
2242,Petroleum Distribution,Deer Food Mart,301 W Round Grove Rd,Lewisville,TX,nan,-96.99903,33.00419,0,null,null,2026-05-26 19:14:33.515396+00
2243,Proton,Rowlett Shell,5522 Chiesa Rd,Rowlett,TX,nan,-96.53111,32.91028,0,null,null,2026-05-26 19:14:33.515396+00
2244,Victron Group,Gateway #55,1204 E Main,Itasca,TX,nan,-97.1336,32.16753,0,null,null,2026-05-26 19:14:33.515396+00
3000,Pilot,Pilot 434,2400 Alliance Gateway Fwy,Fort Worth,TX,nan,-97.30756,32.95769,0,null,null,2026-05-26 19:14:34.295015+00
3001,Green America,433 Pilot,8787 S Lancaster Rd,Dallas,TX,nan,-96.77993,32.64231,0,null,null,2026-05-26 19:14:34.295015+00
3003,GPM EMPIRE,Roadside Corner 2,622 N. Main Street,Springtown,TX,76082,-97.68499,32.97372,0,null,null,2026-05-26 19:14:34.295015+00
3004,McCraw Oil Company,Kc 34 Exxon,2965 South Church Street,Paris,TX,nan,-95.55994,33.62994,0,null,null,2026-05-26 19:14:34.295015+00
3005,KAG_COSTCO,Costco 1208,26960 Nw Fwy,Cypress,TX,nan,-95.71221,29.97904,0,null,null,2026-05-26 19:14:34.295015+00
1205,SC_FUELS,Columbia Kwik Stop,106 Fitzhugh Ave,Dallas,TX,75226,-96.76328,32.79499,0,null,null,2026-05-26 19:14:31.899791+00
1206,SC_FUELS,Tesmart,1601 IH 30,Greenville,TX,75402,-96.06771,33.13456,0,null,null,2026-05-26 19:14:31.899791+00
1207,SC_FUELS,Get N Go,11424 Audelia Rd,Dallas,TX,75243,-96.71735,32.90481,0,null,null,2026-05-26 19:14:31.899791+00
1208,SC_FUELS,Eagle Mountain Oil,3232 Sylvan Ave,Dallas,TX,75212,-96.83545,32.7813,0,null,null,2026-05-26 19:14:31.899791+00
1209,SC_FUELS,Old Dominion PUMP REQ,2760 Marquis Dr,Galrland,TX,75042,-96.67069,32.90001,0,null,null,2026-05-26 19:14:31.899791+00
1985,Victron Group,Cisco Travel Center,16851 I-20 W,Cisco,TX,nan,-99.01976,32.37494,0,null,null,2026-05-26 19:14:32.573469+00
1986,Victron Group,Tiger Mart 34,102 E. Beltline,Desoto,TX,nan,-96.85655,32.58951,0,null,null,2026-05-26 19:14:32.573469+00
1987,TEST,Test Dealer 2,123 Test Dealer Lane,Dallas,TX,nan,-96.68047,32.86363,0,null,null,2026-05-26 19:14:32.573469+00
3006,KAG_COSTCO,Costco 1146,17520 Sw Fwy,Sugar Land,TX,nan,-95.64352,29.58549,0,null,null,2026-05-26 19:14:34.295015+00
3007,KAG_COSTCO,Costco 1221,3500 Business Center Dr,Pearland,TX,nan,-95.39097,29.54425,0,null,null,2026-05-26 19:14:34.295015+00
1988,Victron Group,Do It Shell,1200 Sw Wilshire Blvd,Burleson,TX,nan,-97.34497,32.52478,0,null,null,2026-05-26 19:14:32.573469+00
1990,Victron Group,Tiger Mart #62,10145 West Freeway,Ft Worth,TX,nan,-97.50305,32.72877,0,null,null,2026-05-26 19:14:32.573469+00
2259,BRAD_HALL,Swif-T,2908 Samuell Blvd,Dallas,TX,nan,-96.74405,32.79273,0,null,null,2026-05-26 19:14:33.515396+00
3156,TRAINING,Training,null,null,null,nan,0,0,0,null,null,2026-05-26 19:14:34.295015+00
1232,SC_FUELS,Peak Food,700 S Peak St,DALLAS,TX,75223,-96.76515,32.78688,0,null,null,2026-05-26 19:14:31.899791+00
2260,BRAD_HALL,Thakurs C Store,400 State Hwy 78,Lavon,TX,nan,-96.43042,33.03383,0,null,null,2026-05-26 19:14:33.515396+00
2261,Victron Group,Star Travel Center,Hwy 287 @ Fm 174,Bowie,TX,nan,-97.86359,33.56687,0,null,null,2026-05-26 19:14:33.515396+00
3334,Victron Group,Tiger Mart 71,1402 S Main,Mcalester,OK,74501,-95.77228,34.91655,0,null,null,2026-05-26 19:14:34.596679+00
1686,McCraw Oil Company,Colleyville Exxon,4405 Colleyville Blvd,Colleyville,TX,nan,-97.16242,32.8747,0,null,null,2026-05-26 19:14:31.899791+00
1981,Petroleum Distribution,AD Food Mart,3527 Us Hwy 80 E.,Mesquite,TX,nan,-96.65276,32.79314,0,null,null,2026-05-26 19:14:32.573469+00
1982,Victron Group,Tiger Mart 43,809 S. Beckley Ave,Desoto,TX,nan,-96.82367,32.5757,0,null,null,2026-05-26 19:14:32.573469+00
2262,BRAD_HALL,Good Luck Store,101 N Frontage Rd,Valley View,TX,nan,-97.16299,33.48847,0,null,null,2026-05-26 19:14:33.515396+00
2263,BRAD_HALL,Daily Stop,7801 Glenview Dr,Richaland Hills,TX,nan,-97.212,32.82401,0,null,null,2026-05-26 19:14:33.515396+00
2264,BRAD_HALL,Texaco Food Mart,397 East Southwest Parkway,Lewisville,TX,nan,-96.98478,33.0177,0,null,null,2026-05-26 19:14:33.515396+00
2265,BRAD_HALL,Roanoke Quickstop,201 Byron Nelson Blvd,Roanoke,TX,nan,-97.22535,33.0042,0,null,null,2026-05-26 19:14:33.515396+00
2267,BRAD_HALL,Quickway 16,308 Division St,Muenster,TX,nan,-97.37339,33.64812,0,null,null,2026-05-26 19:14:33.515396+00
2268,BRAD_HALL,Jj'S Convenient Store,300 W Grove St,Kaufman,TX,nan,-96.31103,32.58999,0,null,null,2026-05-26 19:14:33.515396+00
3277,Boyett,Track & Travel Inc,1110  W. Park Avenue,Weatherford,TX,76086,-97.82218,32.72984,0,null,null,2026-05-26 19:14:34.596679+00
3279,KAG_COSTCO,DEDICATED SHIFTS,null,null,null,nan,0,0,0,null,null,2026-05-26 19:14:34.596679+00
2276,World Fuel Services,2 Minute 2,1125 Palo Pinto St,Weatherford,TX,nan,-97.81432,32.75815,0,null,null,2026-05-26 19:14:33.515396+00
3008,Benchmark,Sams Club #6376,4062 Lyndon B Johnson Fwy,Dallas,TX,nan,-96.83933,32.92352,0,null,null,2026-05-26 19:14:34.295015+00
777,KAG_SEI,Shiloh Beverage,3544 14th Street,Plano,TX,75074,-96.6653,33.01413,0,null,null,2026-05-26 19:14:31.311363+00
778,KAG_SEI,Dunlap Swain Tire,2607 San Jacinto,Dallas,TX,75221,-96.79386,32.79005,0,null,null,2026-05-26 19:14:31.311363+00
2013,BRAD_HALL,Lottery Depot,2501 E Renfro Street,Burleson,TX,nan,-97.26022,32.5158,0,null,null,2026-05-26 19:14:32.573469+00
2022,World Fuel Services,Kwik Food & Fuel,3021 Big Town Blvd,Mesquite,TX,nan,-96.66852,32.80662,0,null,null,2026-05-26 19:14:32.573469+00
2024,KAG_SEI,7-11 41761,1724 Bernard St,Denton,TX,nan,-97.14207,33.19703,0,null,null,2026-05-26 19:14:32.573469+00
